sentence1,sentence2,score
ذكرت التقارير أن الحكومة السورية كانت تخفي منشأة نووية في الموقع الذي تعرض للهجوم,بدأ خبراء الأمم المتحدة بتحليل التقارير التي تنص على أن الحكومة السورية كانت تخفي منشأة نووية في الموقع المهاجم,0.84
المخدر معروف أيضاً بـ (آيس) أو (شابو),الميثامفيتامين معروف أيضاً باسم الثلج,0.68
الجهود الوطنية والإقليمية والدولية لإنهاء التجارة غير المشروعة بالأسلحة الصغيرة والأسلحة الخفيفة.,يجب على المجتمع الدولي التعاون لإنهاء التجارة غير المشروعة بالأسلحة الصغيرة والأسلحة الخفيفة.,0.8
التطرف الديني مستمر في باكستان على الرغم من حظر الجماعات المسلحة.,التطرف الديني مستمر في باكستان على الرغم من حظر الحكومة الباكستانية للجماعات المسلحة,0.8
المسؤولون الروس طلبوا عقد مؤتمر حول المعاهدة المتعلقة بالقوات التقليدية في أوروبا لمناقشة التصديق على المعاهدة المعدلة,انتونوف تحدث قبل يوم من مؤتمر حول القوات التقليدية في معاهدة أوروبا,0.64
الرئيس الروسي بوتين يوقع على مرسوم يعلق تطبيق روسيا لمعاهدة الحد من الأسلحة الأوروبية,الرئيس فلاديمير بوتين وقع على مرسوم يعلق مشاركة روسيا في معاهدة القوات التقليدية في أوروبا,0.88
كانت ميانمار تعرف سابقاً باسم بورما.,ميانمار كانت تسمى في السابق بورما,1.0
ألتو هولاجا تقع شمال شرق العاصمة ليما,تقع بورتو كاباز على بعد 557 كم شمال شرق ماناغوا، نيكاراغوا.,0.0
حلف شمال الأطلسي يأسف لقرار روسيا بتعليق مشاركتها في المؤتمر,قرار روسيا بتعليق مشاركتها في المجلس هو خطوة في الاتجاه الخاطئ.,0.76
وتشمل انتهاكات حقوق الإنسان في ميانمار الإعدامات الإجمالية والتعذيب وتجنيد الأطفال في الجيش.,وتشمل هذه الانتهاكات لحقوق الإنسان عمليات الإعدام بإجراءات موجزة والتعذيب وتجنيد الأطفال,0.84
الجنرال (نيكولاي أوراكوف) أعلن عبر الهاتف أن المركز العلمي الحكومي لعلم الميكروبيولوجيا التطبيقية لديه أنظمة حماية موثوق بها في حالة الطوارئ,الجنرال (نيكولاي أوراكوف) مدير المركز العلمي الحكومي لعلم الأحياء المجهرية التطبيقية منذ فترة طويلة,0.48
ألسطوم تتنافس مع الدول اليابانية والألمانية على العقد,شركة ألسطوم تتنافس مع شركة شينكانسن اليابانية و شركة آيس الألمانية للحصول على العقد,0.72
التشريع هو أحدث محاولة من قبل اليابان لإعطاء مزيد من الحرية للجيش الذي تسيطر عليه بشدة وسيقلب الحظر على الاستخدام العسكري للفضاء.,التشريع هو الجهد الأخير من قبل اليابان لإعطاء المزيد من الحرية للجيش الخاضع لسيطرة مشددة المعروف تقنياً باسم قوة الدفاع عن النفس.,0.76
أطلقت كوريا الجنوبية قطارًا سريعًا يصل إلى 300 كيلومتر في الساعة,كوريا الجنوبية لديها نظام القطارات السريعة منذ الثمانينات,0.4
روسيا عضو في الرباعية في الشرق الأوسط,روسيا عضو في الجيش الوطني,0.44
أناتولي سوكولوف أعلن أن نظام الدفاع الصاروخي A-135 السوفيتي حول موسكو قديم وغير فعال,نظام الدفاع الصاروخي A-135 السوفيتي حول موسكو قديم وغير فعال,0.92
الصفقة كانت قيد التنفيذ لعدة سنوات,الوكالة الدولية للطاقة الذرية تقوم بالتحقيق في الأنشطة النووية الإيرانية منذ أربع سنوات,0.12
وسيعزز الالتزام بالتزامات عدم الانتشار الثقة المتبادلة ويعزز التعاون الدولي في مجال الطاقة النووية.,أشار جانغ يان إلى أن جميع البلدان يجب أن تلتزم بالتزامات عدم الانتشار من أجل تعزيز الثقة المتبادلة وخلق بيئة سليمة للتعاون الدولي في مجال الطاقة النووية.,0.64
شركة الطاقة والنقل الفرنسية ألسطوم قد توقع عقدا لبناء خط سكة حديد عالي السرعة بين بكين وشنغهاي,قد تقوم شركة ألسطوم بتوقيع عقد لبناء خط سكة حديد عالي السرعة بين بكين وشنغهاي.,0.8
لا يوجد دواء آخر أصبح جزءاً لا يتجزأ منه منذ عقود,المخدرات موجودة في أشكال أخرى لسنوات,0.4
ووصلت الوكالة الدولية للطاقة الذرية إلى اتفاق مع المسؤولين الإيرانيين الذي ذكر أنه لا توجد قضايا متبقية أو غموض فيما يتعلق ببرنامج ونشاطات إيران النووية.,قال الاتفاق أنه لا توجد قضايا متبقية أو غموض فيما يتعلق ببرنامج ونشاطات إيران النووية.,0.68
اعتقلت شرطة بكين أكثر من 20 شخصًا من بينهم 8 أجانب للاشتباه في تعاطي المخدرات والاتجار بها في حانتين في منطقة شعبية في وسط المدينة.,اعتقلت شرطة بكين أكثر من 20 شخصًا للاشتباه في تعاطيهم وتجارتهم للمخدرات في حانتين في وسط المدينة.,0.76
صادقت روسيا على المعاهدة المحدثة في عام 2004 لكن الولايات المتحدة وأعضاء الناتو الآخرين رفضوا القيام بذلك بحجة أن موسكو يجب أولاً الوفاء بالتزاماتها بسحب القوات من جورجيا ومن منطقة ترانسنيستير الانفصالية في مولدوفا.,وقد صدقت روسيا على النسخة المعدلة لكن الولايات المتحدة وأعضاء الناتو الآخرين رفضوا القيام بذلك حتى تسحب الحكومة الروسية قواتها من الجمهوريات السوفيتية السابقة من مولدوفا وجورجيا.,0.84
هناك آراء متضاربة حول مدى الضرر الذي لحق بالمتمردين,لا يزال العنف مستمرًا على الرغم من الآراء المتضاربة حول مدى الضرر الذي لحقت به الجماعات المتمردة.,0.64
مقاطعة هلمند هي أكبر منطقة منتجة للأفيون في العالم,مقاطعة هلمند هي أكبر منتج للأفيون في العالم,1.0
الشرطة أعلنت أن (تسي وين هوانغ) سيتم تسليمه إلى (تايوان),الشرطة ذكرت أن (شونغ) كان هارباً,0.36
تم إطلاق سراح اثنين من المعتقلين.,اثنان من الزامبيين المعتقلين قاصرين.,0.32
أرسل الرئيس المكسيكي فيليبي كالديرون 2800 عميل خاص وجندي إلى سينالوا بسبب ارتفاع درجة الجريمة المنظمة وتجارة المخدرات,الرئيس المكسيكي (فيليبي كالديرون) أرسل 2800 عميل خاص وجندي إلى (سينالوا) لمكافحة تهريب المخدرات,0.92
ستستضيف برلين اجتماعات رفيعة المستوى في أكتوبر لإنقاذ المعاهدة الأوروبية الرئيسية للحد من الأسلحة القوات التقليدية في أوروبا (CFE).,روسيا علقت مشاركتها في معاهدة أوروبية رئيسية للحد من الأسلحة التي تحكم نشر القوات في أوروبا.,0.36
اجتماع منظمة التعاون الدولي استمر يومين,عقد اجتماع منظمة التعاون والتنمية في مدريد,0.36
تم توقيع معاهدة سي إف إي في عام 1990.,تم تأسيس معاهدة CFE في عام 1990.,0.96
إيران تصر على أن البرنامج يهدف فقط إلى المساعي السلمية مثل توليد,إيران تصر على أن برنامجها النووي لأغراض سلمية,0.88
الصين قوة مهمة لحماية السلام العالمي,الصين قوة مهمة لتعزيز التنمية العالمية,0.68
كوريا الشمالية تنفي تورطها في أي برنامج نووي في سوريا,كوريا الشمالية تنفي تورطها في أي مشروع نووي سوري,0.88
المتحدث باسم يوم ستوكويل لم يكن متاحا على الفور,السلطات الصينية لم تكن متاحة على الفور للتعليق.,0.24
كيم ميونغ تشول حذر أنه إذا كان هناك حظر على السفن الكورية الشمالية فإن حكومة كوريا الشمالية سترد بهجوم صاروخي نووي على المدن الكبرى مثل نيويورك وواشنطن,(كيم ميونغ تشول) أعلن أن كوريا الشمالية سترد بهجوم صاروخي نووي على مدن كبرى مثل (نيويورك) و (واشنطن دي سي),0.76
إيران هي أكبر دولة تطبق عقوبة الإعدام في العالم بعد الصين,الجمهورية الإسلامية هي أكثر دولة تطبيق عقوبة الإعدام في العالم بعد الصين.,0.76
جون دنكان هو سفير بريطانيا العظمى للسيطرة على الأسلحة المتعددة الأطراف ونزع السلاح,في جمعية الأمم المتحدة الحكومة الصينية تحث على زيادة الجهود نحو السيطرة على الأسلحة العالمية ونزع السلاح,0.28
تم تعديل المعاهدة في عام 1999 بعد انهيار الاتحاد السوفيتي.,تم تعديل المعاهدة في عام 1999 لتعكس التغييرات منذ انهيار الاتحاد السوفيتي.,0.8
كشمير مقسمة بين الهند وباكستان,كشمير تدعي كل من الهند وباكستان.,0.88
كوريا الجنوبية وإسرائيل تعارضان انتشار أسلحة الدمار الشامل وسباق التسلح,الصين ستعارض بقوة انتشار أسلحة الدمار الشامل,0.28
القذافي يحذر من أن فشل الولايات المتحدة وبريطانيا في تعويض ليبيا عن نزع السلاح النووي سيردع إيران وكوريا الشمالية عن نزع السلاح,فشل الدول الغربية في تعويض ليبيا بما فيه الكفاية سوف يردع إيران وكوريا الشمالية عن نزع السلاح,0.68
روسيا صدقت على المعاهدة المعدلة,صدقت روسيا على المعاهدة المحدثة في عام 2004.,0.68
فريق من 30 متخصص سيقوم بإجراء البحوث والتدريب على الحرب الإلكترونية وسيكون مستعدًا لمساعدة أعضاء الناتو في الاستجابة لأي هجمات إلكترونية مستقبلية.,فريق من 30 متخصص سيقوم بالبحث والتدريب على الحرب الإلكترونية,0.68
قام جناح شباب الجماعة الإسلامية بتظاهرة منفصلة في كشمير.,مظاهرة جناح شباب الجماعة الإسلامية كانت ضد الهجوم الأمريكي على العراق,0.6
إيران هي أكبر دولة تطبق عقوبة الإعدام في العالم بعد الصين,الجمهورية الإسلامية هي أكثر دولة تطبيق عقوبة الإعدام في العالم بعد الصين.,0.76
الصين ستعارض بقوة وسائل نقل أسلحة الدمار الشامل,لطالما عارضت الصين انتشار أسلحة الدمار الشامل,0.88
انهيار النظام في الصين سيؤدي إلى اضطرابات عالمية كبيرة,انهيار النظام في الصين سيكون أسوأ من أفغانستان أو يوغوسلافيا,0.68
أعلنت كوريا الشمالية عن طموحاتها النووية وفي الوقت الحالي أفادت تقارير بأن كوريا الشمالية لديها صواريخ موجهة نحو اليابان,لقد تفاخر كوريا الشمالية بطموحاتها النووية و أفادت تقارير بأن كوريا الشمالية لديها الآن صواريخ مدربة على,0.8
أبوجا هي عاصمة,تشينفالي هي عاصمة جورجيا.,0.16
اتهمت حكومة الولايات المتحدة الحكومة الإيرانية بمحاولة تطوير أسلحة نووية تحت غطاء برنامج نووي مدني,اتهمت الولايات المتحدة وحلفاؤها إيران بمحاولة تطوير أسلحة نووية تحت ستار برنامج نووي مدني,0.92
تيرانا هي عاصمة,أبوجا هي عاصمة,0.2
في اشتباك مسلح قامت الشرطة الإيرانية بقتل أربعة من المتهمين بتجارة المخدرات واعتقلت اثنين واعتقلت ما يقرب من 5 أطنان من الأفيون والمورفين,خلال اشتباكات مسلحة في جنوب شرق إيران ضبطت الشرطة ما يقرب من 5 أطنان من الأفيون والمورفين,0.64
المشاريع النووية الإيرانية لأغراض سلمية,إيران تصر على أن برنامجها النووي لأغراض سلمية,0.72
الصين ستعارض بقوة انتشار أسلحة الدمار الشامل,الصين ستعارض بقوة وسائل نقل أسلحة الدمار الشامل,0.84
الصين هي أقرب حليف لكوريا الشمالية,كوريا الشمالية دولة منعزلة,0.24
وزير الخارجية الليبي عبد الرحمن شلغم زار لندن في أول زيارة لوزير خارجية ليبي منذ عام 1969,زيارة شلغام إلى لندن هي الأولى لوزير خارجية ليبي منذ عام 1969.,0.84
قال (غوف) أن هذا يشكل تهديداً كبيراً للأمن العالمي,إنه يشكل تهديداً كبيراً للأمن العالمي,0.72
(كمبوديا) و (فيتنام) أنهتا اتفاقاً لإيقاف تجار المخدرات الآسيويين والأوروبيين,وقع مسؤولون سوريون وروس اتفاقية للتعاون في مكافحة تهريب المخدرات,0.4
أعلن نشطاء أن روسيا تسجن الناس دون أدلة على أنشطة غير قانونية.,روسيا تسجن الناس بدون دليل على نشاط غير قانوني,0.84
تقييد الجماعات المتطرفة يصبح أكثر صعوبة بسبب كيفية تمويل الجماعات.,(بروجير) قال أن كبح جماعات المتطرفين خصوصاً في أوروبا أصبح أكثر صعوبة بسبب كيفية تمويل هذه الجماعات,0.76
زابول مدينة في جنوب شرق إيران,خوراماباد مدينة في غرب إيران,0.24
المحتجزين المتهمين بالقتل والتعاون الإجرامي والخطف وتمويل الإرهاب ويشملون أعضاء الجيش والشرطة.,أكد إيغوران أن المعتقلين سيتم اتهامهم بالقتل والتعاون الجنائي والخطف وتمويل الإرهاب.,0.65
القضبان الحالية يمكن أن تنتج 3-6 قنابل ذرية في 6-8 أشهر.,ذكر الخبراء أن القضبان يمكن أن تنتج 3-6 قنابل ذرية في 6-8 أشهر.,0.84
وكالة الطاقة الذرية الدولية قد تكون خدعت لأنها كانت حريصة على صفقة.,خطة الوكالة الدولية للطاقة الذرية تستغرق مفاوضات لعدة أشهر,0.48
أعلنت حكومة ميانمار أن ميانمار ستصبح خالية من الأفيون بحلول عام 2014.,أعلنت حكومة ميانمار أن ميانمار على الطريق الصحيح لتصبح خالية من المخدرات بحلول عام 2014.,0.92
نشرت الجماعة اليهودية الأمريكية رابطة مكافحة التشهير إعلانات كاملة الصفحة في الصحف السويسرية والدولية في أبريل 2008 متهمة سويسرا بتمويل الإرهاب من خلال الصفقة.,اتخذت رابطة مكافحة التشهير إعلانات كاملة الصفحة في الصحف السويسرية والدولية في وقت سابق من أبريل 2008 متهمة سويسرا بتمويل الإرهاب من خلال الصفقة.,0.88
فرنسا توفر الصواريخ والبنادق والمحركات,بريطانيا توفر خزانات الوقود و صناديق التروس,0.36
جرائم الإعدام في المملكة العربية السعودية تشمل الاغتصاب والقتل والردة والسرقة المسلحة وتجارة المخدرات,جرائم الإعدام في إيران تشمل القتل، الاغتصاب، السرقة المسلحة، الاتجار الخطير بالمخدرات والزنا.,0.64
(بي إيه سيستمز) هي أكبر شركة دفاع في المملكة المتحدة,أنظمة بي إي هي أكبر جيش في المملكة المتحدة,0.68
(لافروف) أخبرنا وزيرة الخارجية (كوندوليزا رايس) أن (روسيا) تظل مفتوحة للحوار,وزيرة الخارجية الأمريكية (كوندوليزا رايس) طلبت من روسيا سحب قواتها,0.56
الأفراد والكيانات الإضافية تخضع لتجميد الأصول.,يتضمن القرار قائمة موسعة من الأفراد والكيانات الخاضعة لتجميد الأصول.,0.76
الانسحاب من المعاهدة سيسمح لروسيا بتعزيز القوات بالقرب من الحدود الروسية,الانسحاب من معاهدة القوات التقليدية في أوروبا سيسمح لروسيا بتعزيز القوات بالقرب من الحدود الروسية,0.68
وقال فان ان اللجنة مهتمة بشكل أساسي بمدة الاستثمار المستقبلي في تايوان.,وقال فان إن المفوضية ستضمن الالتزامات بمجرد بدء الاستثمارات.,0.36
صرح المتحدث باسم الحكومة ماسيكو أنه إذا كانت الوثائق الإدارية على ما يرام فإن حكومة جنوب أفريقيا لا يمكنها التدخل لمنع نقل الأسلحة عبر أراضيها إلى دولة مجاورة غير ساحلية.,المتحدث باسم تمبا ماسيكو ذكر أنه طالما أن الأوراق الإدارية على ما يرام لا يمكن لجنوب أفريقيا التدخل لمنع نقل الأسلحة عبر أراضي جنوب أفريقيا إلى زيمبابوي.,0.56
تم نشر بيان الرئيس ديمتري ميدفيديف على موقع الكرملين ونشرته وكالات الأنباء الحكومية بالكامل.,تم نشر البيان على موقع الكرملين على الإنترنت ونشرته وكالات الأنباء الحكومية.,0.64
تركمانستان على الحدود مع أفغانستان,سيستان-بلوشستان حدود أفغانستان وباكستان.,0.36
ارتفع عدد عمليات الإعدام في إيران العام الماضي وسط حملة تهدف إلى تحسين الأمن في المجتمع.,ارتفع عدد عمليات الإعدام بشكل كبير في عام 2007 وسط حملة تقول السلطات الإيرانية إنها تهدف إلى تحسين الأمن في المجتمع.,0.68
سوريا تنفي أن لديها برنامج نووي غير معلن,سوريا تنفي وجود برنامج نووي غير معلن,1.0
منظمة العفو الدولية هي مجموعة حقوقية مقرها في لندن,المعهد الدولي للدراسات الاستراتيجية يقع في لندن,0.28
الرقم 254 تم تجميعه مع إحصاءات من الصحافة وشهود العيان,تم حساب عدد عمليات الإعدام في إيران في عام 2007 من خلال إحصاء أجرته وكالة الأنباء الفيدرالية من تقارير الصحافة.,0.44
الحكومة الإيرانية أعلنت أن البرنامج النووي الإيراني يبقى سلمياً,الحكومة الإيرانية تقول أن البرنامج النووي سلمي,1.0
قال شينغريف أنه من الصعب جداً صنع سلاح نووي من البلوتونيوم الموجود في هذا الوقود,(دونوهو) قال أنه من الصعب جداً التعامل مع النظائر المشعة دون ترك أثر.,0.12
باريس هي عاصمة فرنسا,ليما هي عاصمة,0.12
أحد مسؤولي الحكومة الهندية تحدث بشرط عدم الكشف عن اسمه,تحدث المسؤول بشرط عدم الكشف عن هويته,0.68
هددت روسيا عدة مرات بالانسحاب من الاتحاد عندما كانت على خلاف مع الولايات المتحدة حول خطط الولايات المتحدة لتثبيت درع دفاع صاروخي في شرق,هددت روسيا مراراً بالانسحاب من الاتحاد في معارضتها لخطط توسيع درع الدفاع الصاروخي الأمريكي إلى أوروبا الشرقية,0.92
الخطة لتونس هي إنشاء قواعد بيانات إلكترونية لتسهيل تحصيل الضرائب.,الخطة لنيجيريا وموزمبيق هي إنشاء قاعدة بيانات إلكترونية للعقارات.,0.36
لقد أشادت المجتمع الدولي بالصين على جهودها لحل القضية النووية في شبه الجزيرة الكورية,تم الإشادة بالصين خصوصا من قبل دول آسيا والمحيط الهادئ لجهودها لحل القضية النووية في شبه الجزيرة الكورية.,0.84
أعلنت وزارة الخارجية الروسية أن روسيا لم تعل الحوار.,المسؤولون الروس أعلنوا أن روسيا لن تعيد النظر في التعليق,0.52
يجب القضاء على مهربي الأسلحة و عصابات المخدرات من جنوب شرق آسيا,المهربون بالأسلحة و عصابات المخدرات يدعمون الإرهابيين,0.56
يحاول القانون الجديد إزالة أي عقبات قانونية لبناء أقمار تجسس أكثر تطوراً ومساعدة الابتكار في صناعة الفضاء اليابانية.,الهدف من القانون الجديد هو إزالة أي عقبات قانونية لبناء أقمار تجسس أكثر تطوراً وتشجيع الابتكار في صناعة الفضاء اليابانية.,0.96
قال (تشانغ) إن الصين تعارض تقييد استخدام الطاقة النووية السلمي من قبل الدول غير الحائزة على الأسلحة النووية على أساس عدم الانتشار لأن الاستخدام السلمي للطاقة النووية هو هدف حاسم من أهداف الاتحاد الوطني للطاقة.,ذكر تشانغ يان أن الصين تعارض استخدام عدم الانتشار كذريعة لتقييد وحرمان الدول غير الحائزة على الأسلحة النووية من الحق في استخدام الطاقة النووية السلمية.,0.88
خبير منع الانتشار في المعهد الدولي للدراسات الاستراتيجية (مارك فيتزباتريك) صرح بأن تقرير الوكالة الدولية للطاقة الذرية,زميل كبير في المعهد الدولي للدراسات الاستراتيجية (مارك فيتزباتريك) صرح بأن... خطة وكالة الطاقة الذرية الدولية سطحية.,0.8
المعاهدة تحد من عدد الطائرات والدبابات والأسلحة الثقيلة غير النووية حول أوروبا,معاهدة القوات التقليدية في أوروبا تحد من عدد الطائرات العسكرية والدبابات وغيرها من الأسلحة الثقيلة غير النووية في أوروبا,0.84
ذكر مسؤولون إستونيون أن بعض الهجمات الإلكترونية التي أدت إلى إغلاق مواقع الحكومة الإستونية مؤقتاً جاءت من أجهزة كمبيوتر في إدارة روسيا بما في ذلك مكتب الرئيس فلاديمير بوتين.,زعم مسؤولون في إستونيا بما في ذلك رئيس الوزراء أندروس أنسيب أن بعض الهجمات الإلكترونية جاءت من أجهزة الحكومة الروسية بما في ذلك أجهزة حاسوب في مكتب الرئيس الروسي فلاديمير بوتين.,0.76
توصلت بريطانيا إلى اتفاق لتزويد المملكة العربية السعودية بطائرات تايفون في صفقة تبلغ قيمتها 8 مليارات جنيه استرليني (حوالي 13.9 مليار دولار أمريكي).,وافقت المملكة المتحدة على تزويد السعودية بطائرات تايفون في صفقة تقدر قيمتها بنحو 8 مليارات جنيه استرليني (حوالي 13.9 مليار دولار أمريكي) لشركة بي إيه سيستمز الدفاعية البريطانية.,0.64
الأفيون هو المكون الخام للهيروين,الخشخاش أعطى المكون الخام للهروين,0.68
(وي سونغ لاك) رفض إعطاء أي تفاصيل عن مشروع المفاعل النووي لكوريا الشمالية,كوريا الجنوبية حتى الآن اتخذت موقفا حذرا في قضية مشروع مفاعل نووي لكوريا الشمالية,0.6
تهدف الاتفاقية إلى إقامة تعاون أوسع يشمل الأمن القومي ومكافحة الإرهاب العالمي.,في بيان وزارة الدفاع البريطانية ذكر-- الاتفاقية تهدف إلى إقامة تعاون أوسع تغطي الأمن القومي ومكافحة الإرهاب العالمي.,0.68
العديد من الذين يُعدمون في إيران يُشنقون علناً,العديد من الأشخاص الذين يُعدمون يُشنقون علناً,0.68
الولايات المتحدة وحلفاء الولايات المتحدة يعتقدون أن إيران تسعى للحصول على أسلحة نووية,الولايات المتحدة وبعض الدول الأوروبية تعتقد أن مشاريع إيران النووية تهدف إلى صنع أسلحة نووية,0.76
"الـ""سي إف إي"" مهم جداً للأمن الأوروبي.",الاتفاق الأوروبي هو حجر الزاوية للأمن الأوروبي.,1.0
القوات الهندية بالفعل تقاتل المتمردين في كشمير وتشارك الآن في حملة هائلة لتدمير محاصيل الخشخاش في المنطقة.,القوات الهندية التي كانت بالفعل تقاتل المتمردين بدأت الآن في عملية هائلة لتدمير محاصيل الخشخاش في كشمير,1.0
المسألة حساسة,تقرير وكالة الطيران الدولية محجوز,0.0
الأسبوع الماضي أعلنت روسيا أنها ستعلق مشاركتها في المؤتمر,حلف شمال الأطلسي يأسف لقرار روسيا بتعليق مشاركتها في المؤتمر,0.48
الولايات المتحدة والدول الغربية الأخرى وحلف شمال الأطلسي أدانوا العنف,الولايات المتحدة والدول الغربية الأخرى وحلف شمال الأطلسي طالبوا بوقف إطلاق النار,0.72
المواطنون الهنود يشكلون أكبر عدد من السجناء الأجانب في سجون نيبال.,تجار المخدرات من الدول الأجنبية يشكلون أكبر نسبة من السجناء الأجانب في نيبال.,0.4
القانون القانوني اتهم راجاد بتمويل الإرهاب,اتهمت المحكمة (رجاد صدام حسين) بتمويل الإرهاب,0.84
أحرق حكام ميانمار العسكريون المخدرات غير المشروعة بقيمة 250 مليون دولار تقريبًا للاحتفال باليوم الدولي لمكافحة تعاطي المخدرات والاتجار غير المشروع بها.,حرق حكام ميانمار العسكريون المخدرات للاحتفال باليوم العالمي لمكافحة تعاطي المخدرات والاتجار غير المشروع بها.,0.75
زاد المسؤولون الإيرانيون من عمليات الإعدام في عام 2007 حيث يفرض المسؤولون حملة يزعم أنها تهدف إلى تعزيز الفضيلة وتعزيز الأمن في المجتمع.,ارتفع عدد عمليات الإعدام في إيران العام الماضي وسط حملة تهدف إلى تحسين الأمن في المجتمع.,0.8
اتهمت الهند إسلام آباد بتمويل وتدريب المتمردين,الهند تتهم باكستان بتمويل وتدريب المتمردين عبر الحدود,0.6
المعركة التي تلتها والغارات الجوية قتلت 10 متشددين على الأقل,في المعركة التي تلت ذلك قتل 10 متشددين على الأقل,0.72
ذكر بيان وزارة الخارجية البنمية أن فرقة العمل ستسهل نقل التكنولوجيا وتعزز إنتاج واستهلاك الوقود الحيوي.,بيان وزارة الخارجية البنمارية ذكر أن بنما والبرازيل وقعا 3 معاهدات قضائية شملت تسليم,0.36
فيتنام لديها من بين أقسى قوانين المخدرات في العالم,قوانين المخدرات في فيتنام هي من بين القوانين الأكثر صرامة في العالم,0.96
حظرت الحكومة الهندية التصدير والاستيراد المباشرين أو غير المباشرين لجميع العناصر والمواد والسلع والتكنولوجيا التي يمكن أن تسهم في أنشطة إيران المتعلقة بالخصب أو إعادة المعالجة أو المياه الثقيلة.,حظرت الهند تصدير واستيراد مباشر أو غير مباشر لجميع العناصر والمواد والسلع والتكنولوجيا التي يمكن أن تسهم في أنظمة نقل الأسلحة النووية الإيرانية.,0.64
وكالة أنباء فيتنام ذكرت أن وزارة الأمن العام ذكرت أن الأجانب المتورطين في قضايا تهريب المخدرات في فيتنام جاءوا في الغالب من لاوس وكمبوديا وأستراليا والصين والولايات المتحدة وتايوان.,وكالة أنباء فيتنام ذكرت أن وزارة الأمن العام ذكرت أن الشرطة اعترفت بأن تهريب المخدرات إلى فيتنام يتزايد لكن الإجراءات لمنع وإيقاف تهريب المخدرات على طول الحدود لا تزال محدودة.,0.76
قائد فريق العالم الآمن في التحكم في عمليات النقل والأسلحة الصغيرة روي إسبيستر قال... حظر الاتحاد الأوروبي يحظر توريد المعدات العسكرية المباشرة أو غير المباشرة للاستخدام في ميانمار.,"وقال روي إسبيستر، رئيس فريق ""سايفر وورلد"" المعني بالتحكم في عمليات النقل والأسلحة الصغيرة، إن حظر الاتحاد الأوروبي ينص صراحة على عدم توريد أي معدات عسكرية، سواء بشكل مباشر أو غير مباشر، لاستخدامها في ميانمار.",1.0
الولايات المتحدة وأعضاء الناتو الآخرين رفضوا التصديق على المعاهدة المعدلة,الولايات المتحدة وأعضاء الناتو الآخرين رفضوا التصديق على التحديثات,0.64
يحد الاتفاق من استخدام القوات المسلحة والأسلحة الثقيلة وينص على تدابير تهدف إلى بناء الثقة والشفافية والتعاون بين الدول الأعضاء.,المعاهدة تحد من نشر الدبابات والقوات في حلف شمال الأطلسي ودول حلف وارسو الأوروبية الشرقية السابقة وتضع تدابير لبناء الثقة والشفافية والتعاون بين الدول الأعضاء,0.76
تقع بلغاريا في الجزء الجنوبي الشرقي من شبه جزيرة البلقان.,تجارة المخدرات منتشرة في الجزء الجنوبي الشرقي من شبه جزيرة البلقان,0.2
أعلن البرادعي أن هذه هي الفرصة الأخيرة لبناء الأمن في الشرق الأوسط على أساس الثقة والتعاون وليس على امتلاك الأسلحة النووية.,هذه هي الفرصة الأخيرة لبناء الأمن في الشرق الأوسط على أساس الثقة والتعاون بدلاً من امتلاك الأسلحة النووية.,0.8
الحكومة الإيرانية رفضت الادعاءات في المعلومات الاستخباراتية المقدمة إلى مجلس الوكالة الدولية للطاقة الذرية باعتبارها لا أساس لها والمعلومات الاستخباراتية المستخدمة لدعم الادعاءات باعتبارها مزيفة.,الوكالة الدولية للطاقة الذرية تصر على أن إنكار الحكومة الإيرانية للمعلومات التي قدمتها إلى مجلس الوكالة الدولية للطاقة الذرية ليست كافية لتخفيف شكوك الدول الغربية,0.44
تم تأسيس معاهدة CFE في عام 1990.,تم توقيع المعاهدة في الأصل في عام 1990.,0.64
تعتبر معاهدة القوات التقليدية في أوروبا معاهدة أساسية للحد من الأسلحة.,معاهدة القوات التقليدية في أوروبا كانت معاهدة أساسية للحد من الأسلحة في الحقبة السوفيتية,0.8
احتفلت نيكاراغوا بالذكرى الخامسة والعشرين للثورة الساندينية التي أطاحت بديكتاتورية أنستاسيو سوموزا ولكنها فرضت نظام يساري على غرار نظام كوبا.,نيكاراغوا احتفلت بالذكرى الخامسة والعشرين للثورة الساندينية,0.76
تم القبض على 13 كردي من تركيا بالقرب من باريس للاشتباه في غسيل الأموال لحزب العمال الكردستاني.,عشرة أكراد يخضعون للتحقيق في فرنسا للاشتباه في غسل الأموال لصالح منظمة إرهابية تعرف باسم حزب العمال الكردستاني.,0.52
استمرت الاجتماعات يومين,اجتماع منظمة التعاون الدولي استمر يومين,0.68
سكان القرية يتورطون دون قصد في تجارة المخدرات,105 سجناء يقضون أحكامهم بتهمة تهريب المخدرات,0.28
الحكومة الروسية تعارض بشدة خطط الولايات المتحدة لتثبيت الدفاعات المضادة للصواريخ في أوروبا وترفض تأكيدات الولايات المتحدة بأن صواريخ الاعتراض مطلوبة للدفاع ضد التهديدات من إيران,بعد المحادثات في مقر حلف شمال الأطلسي، كرر بالويفسكي معارضة روسيا لخطط الولايات المتحدة لتثبيت دفاعات مضادة للصواريخ في أوروبا ورفض تأكيدات الولايات المتحدة بأن المقاطعات كانت ضرورية للدفاع عن التهديدات المحتملة من إيران.,0.64
